Release_date=2017-03-01
Gene	Domaine	Start	End	Accession
ORC1_CCDS566.1	Cdc6_C	778	857	PF09079.10
PRPF38A_CCDS567.1	PRP38_assoc	179	259	PF12871.6
PRPF38A_CCDS567.1	PRP38	11	174	PF03371.14
GPX7_CCDS569.1	GSHPx	25	132	PF00255.18
COA7_CCDS570.1	Sel1	68	102	PF08238.11
COA7_CCDS570.1	Sel1	109	146	PF08238.11
COA7_CCDS570.1	Sel1	148	183	PF08238.11
COA7_CCDS570.1	Sel1	186	208	PF08238.11
ECHDC2_CCDS571.1	ECH_1	40	112	PF00378.19
ECHDC2_CCDS571.1	ECH_1	122	260	PF00378.19
SCP2_CCDS572.1	SCP2	437	538	PF02036.16
SCP2_CCDS572.1	Thiolase_N	14	239	PF00108.22
SCP2_CCDS572.1	Thiolase_C	283	381	PF02803.17
PODN_CCDS573.1	LRR_8	286	348	PF13855.5
PODN_CCDS573.1	LRR_8	428	490	PF13855.5
PODN_CCDS573.1	LRR_8	499	561	PF13855.5
PODN_CCDS573.1	LRR_8	571	630	PF13855.5
PODN_CCDS573.1	LRR_5	169	275	PF13306.5
SLC1A7_CCDS574.1	SDF	21	475	PF00375.17
CPT2_CCDS575.1	Carn_acyltransf	49	647	PF00755.19
C1orf123_CCDS576.1	DUF866	5	157	PF05907.12
MAGOH_CCDS577.1	Mago_nashi	5	146	PF02792.13
LRP8_CCDS578.1	FXa_inhibition	340	374	PF14670.5
LRP8_CCDS578.1	Ldl_recept_b	462	506	PF00058.16
LRP8_CCDS578.1	Ldl_recept_b	510	549	PF00058.16
LRP8_CCDS578.1	Ldl_recept_b	552	592	PF00058.16
LRP8_CCDS578.1	Ldl_recept_b	596	637	PF00058.16
LRP8_CCDS578.1	Ldl_recept_b	639	679	PF00058.16
LRP8_CCDS578.1	Ldl_recept_a	45	81	PF00057.17
LRP8_CCDS578.1	Ldl_recept_a	84	122	PF00057.17
LRP8_CCDS578.1	Ldl_recept_a	127	163	PF00057.17
LRP8_CCDS578.1	Ldl_recept_a	167	201	PF00057.17
LRP8_CCDS578.1	Ldl_recept_a	205	243	PF00057.17
LRP8_CCDS578.1	Ldl_recept_a	259	294	PF00057.17
LRP8_CCDS578.1	Ldl_recept_a	298	333	PF00057.17
LRP8_CCDS579.1	FXa_inhibition	211	245	PF14670.5
LRP8_CCDS579.1	Ldl_recept_b	333	377	PF00058.16
LRP8_CCDS579.1	Ldl_recept_b	381	420	PF00058.16
LRP8_CCDS579.1	Ldl_recept_b	423	463	PF00058.16
LRP8_CCDS579.1	Ldl_recept_b	467	508	PF00058.16
LRP8_CCDS579.1	Ldl_recept_b	510	550	PF00058.16
LRP8_CCDS579.1	Ldl_recept_a	45	81	PF00057.17
LRP8_CCDS579.1	Ldl_recept_a	84	122	PF00057.17
LRP8_CCDS579.1	Ldl_recept_a	127	163	PF00057.17
LRP8_CCDS579.1	Ldl_recept_a	169	204	PF00057.17
LRP8_CCDS579.1	EGF_CA	247	285	PF07645.14
LRP8_CCDS580.1	FXa_inhibition	170	204	PF14670.5
LRP8_CCDS580.1	Ldl_recept_b	292	336	PF00058.16
LRP8_CCDS580.1	Ldl_recept_b	340	379	PF00058.16
LRP8_CCDS580.1	Ldl_recept_b	382	422	PF00058.16
LRP8_CCDS580.1	Ldl_recept_b	426	467	PF00058.16
LRP8_CCDS580.1	Ldl_recept_b	469	509	PF00058.16
LRP8_CCDS580.1	Ldl_recept_a	45	81	PF00057.17
LRP8_CCDS580.1	Ldl_recept_a	84	122	PF00057.17
LRP8_CCDS580.1	Ldl_recept_a	127	163	PF00057.17
LRP8_CCDS580.1	EGF_CA	206	244	PF07645.14
DMRTB1_CCDS581.1	DM	7	53	PF00751.17
GLIS1_CCDS582.1	zf-C2H2	263	286	PF00096.25
GLIS1_CCDS582.1	zf-C2H2	294	316	PF00096.25
GLIS1_CCDS582.1	zf-C2H2	322	346	PF00096.25
NDC1_CCDS583.1	Ndc1_Nup	20	667	PF09531.9
YIPF1_CCDS584.1	Yip1	86	249	PF04893.16
LRRC42_CCDS585.1	LRR_6	175	188	PF13516.5
LRRC42_CCDS585.1	LRR_6	201	220	PF13516.5
LRRC42_CCDS585.1	LRR_6	234	251	PF13516.5
TMEM59_CCDS586.1	BSMAP	72	256	PF12280.7
TCEANC2_CCDS587.1	Med26	62	108	PF08711.10
CDCP2_CCDS588.2	CUB	30	140	PF00431.19
CDCP2_CCDS588.2	CUB	145	252	PF00431.19
CDCP2_CCDS588.2	CUB	257	370	PF00431.19
MRPL37_CCDS589.1	PDCD9	305	385	PF07147.11
SSBP3_CCDS590.1	SSDP	81	150	PF04503.12
SSBP3_CCDS590.1	SSDP	154	345	PF04503.12
SSBP3_CCDS591.1	SSDP	81	365	PF04503.12
ACOT11_CCDS592.1	4HBT	67	133	PF03061.21
ACOT11_CCDS592.1	4HBT	234	303	PF03061.21
ACOT11_CCDS592.1	START	385	588	PF01852.18
ACOT11_CCDS593.1	4HBT	67	133	PF03061.21
ACOT11_CCDS593.1	4HBT	234	303	PF03061.21
ACOT11_CCDS593.1	START	385	551	PF01852.18
FAM151A_CCDS594.1	DUF2181	66	305	PF10223.8
FAM151A_CCDS594.1	DUF2181	353	572	PF10223.8
PARS2_CCDS597.1	tRNA-synt_2b	143	354	PF00587.24
PARS2_CCDS597.1	HGTP_anticodon	371	443	PF03129.19
TTC22_CCDS598.1	TPR_8	101	123	PF13181.5
DHCR24_CCDS600.1	FAD_binding_4	111	202	PF01565.22
TMEM61_CCDS601.1	TMEM61	13	201	PF15105.5
BSND_CCDS602.1	Barttin	27	251	PF15462.5
PCSK9_CCDS603.1	Peptidase_S8	182	417	PF00082.21
PCSK9_CCDS603.1	Inhibitor_I9	77	149	PF05922.15
PPAP2B_CCDS604.1	PAP2	132	276	PF01569.20
PRKAA2_CCDS605.1	Pkinase	17	268	PF00069.24
PRKAA2_CCDS605.1	AdenylateSensor	401	479	PF16579.4
C8A_CCDS606.1	TSP_1	541	584	PF00090.18
C8A_CCDS606.1	Ldl_recept_a	95	130	PF00057.17
C8A_CCDS606.1	MACPF	268	490	PF01823.18
DAB1_CCDS607.1	PID	61	167	PF00640.22
OMA1_CCDS608.1	Peptidase_M48	281	451	PF01435.17
TACSTD2_CCDS609.1	Thyroglobulin_1	99	138	PF00086.17
JUN_CCDS610.1	bZIP_1	250	313	PF00170.20
JUN_CCDS610.1	Jun	5	241	PF03957.12
FGGY_CCDS611.2	FGGY_N	11	267	PF00370.20
FGGY_CCDS611.2	FGGY_C	290	496	PF02782.15
HOOK1_CCDS612.1	HOOK	14	719	PF05622.11
CYP2J2_CCDS613.1	p450	44	497	PF00067.21
NFIA_CCDS615.1	NfI_DNAbd_pre-N	7	46	PF10524.8
NFIA_CCDS615.1	CTF_NFI	214	476	PF00859.17
NFIA_CCDS615.1	MH1	69	170	PF03165.15
INADL_CCDS617.2	PDZ	135	217	PF00595.23
INADL_CCDS617.2	PDZ	254	324	PF00595.23
INADL_CCDS617.2	PDZ	368	449	PF00595.23
INADL_CCDS617.2	PDZ	690	769	PF00595.23
INADL_CCDS617.2	PDZ	1071	1153	PF00595.23
INADL_CCDS617.2	PDZ	1241	1317	PF00595.23
INADL_CCDS617.2	PDZ	1439	1516	PF00595.23
INADL_CCDS617.2	PDZ	1535	1611	PF00595.23
INADL_CCDS617.2	PDZ	1678	1758	PF00595.23
INADL_CCDS617.2	L27_2	8	65	PF09045.9
L1TD1_CCDS619.1	Tnp_22_dsRBD	253	314	PF17490.1
L1TD1_CCDS619.1	Tnp_22_dsRBD	799	860	PF17490.1
L1TD1_CCDS619.1	Transposase_22	701	795	PF02994.13
KANK4_CCDS620.1	Ank_5	915	970	PF13857.5
KANK4_CCDS620.1	KN_motif	24	62	PF12075.7
KANK4_CCDS620.1	Ank	823	856	PF00023.29
USP1_CCDS621.1	UCH	81	601	PF00443.28
ANGPTL3_CCDS622.1	Fibrinogen_C	243	453	PF00147.17
ATG4C_CCDS623.1	Peptidase_C54	77	398	PF03416.18
FOXD3_CCDS624.1	Forkhead	141	225	PF00250.17
PGM1_CCDS625.1	PGM_PMM_I	15	157	PF02878.15
PGM1_CCDS625.1	PGM_PMM_III	306	420	PF02880.15
PGM1_CCDS625.1	PGM_PMM_IV	464	525	PF00408.19
PGM1_CCDS625.1	PGM_PMM_II	194	300	PF02879.15
ROR1_CCDS626.1	Pkinase_Tyr	474	745	PF07714.16
ROR1_CCDS626.1	Fz	170	288	PF01392.21
ROR1_CCDS626.1	I-set	61	143	PF07679.15
ROR1_CCDS626.1	Kringle	313	391	PF00051.17
UBE2U_CCDS627.1	UQ_con	9	144	PF00179.25
CACHD1_CCDS628.2	VWA	178	343	PF00092.27
CACHD1_CCDS628.2	VWA_N	38	153	PF08399.10
AK4_CCDS629.1	ADK_lid	126	161	PF05191.13
AK4_CCDS629.1	ADK	10	189	PF00406.21
LEPROT_CCDS630.1	Vps55	7	122	PF04133.13
LEPR_CCDS631.1	Lep_receptor_Ig	333	420	PF06328.10
PDE4B_CCDS632.1	PDEase_I	405	646	PF00233.18
TCTEX1D1_CCDS633.1	Tctex-1	81	177	PF03645.12
INSL5_CCDS634.1	Insulin	27	135	PF00049.17
WDR78_CCDS635.1	WD40	695	732	PF00400.31
WDR78_CCDS635.1	WD40	748	775	PF00400.31
SLC35D1_CCDS636.1	TPT	44	328	PF03151.15
IL12RB2_CCDS638.1	fn3	423	508	PF00041.20
IL12RB2_CCDS638.1	Lep_receptor_Ig	28	109	PF06328.10
SERBP1_CCDS639.1	IHABP4_N	5	152	PF16174.4
SERBP1_CCDS639.1	HABP4_PAI-RBP1	189	292	PF04774.14
GADD45A_CCDS640.1	Ribosomal_L7Ae	21	122	PF01248.25
DIRAS3_CCDS641.1	Ras	39	197	PF00071.21
WLS_CCDS642.1	MIG-14_Wnt-bd	178	496	PF06664.11
RPE65_CCDS643.1	RPE65	17	530	PF03055.14
DEPDC1_CCDS644.1	DEP	27	106	PF00610.20
DEPDC1_CCDS644.1	RhoGAP	275	350	PF00620.26
LRRC7_CCDS645.1	PDZ	1453	1532	PF00595.23
LRRC7_CCDS645.1	LRR_8	46	103	PF13855.5
LRRC7_CCDS645.1	LRR_8	139	195	PF13855.5
LRRC7_CCDS645.1	LRR_8	208	265	PF13855.5
LRRC7_CCDS645.1	LRR_8	346	402	PF13855.5
LRRC40_CCDS646.1	LRR_8	84	140	PF13855.5
LRRC40_CCDS646.1	LRR_8	151	209	PF13855.5
LRRC40_CCDS646.1	LRR_8	267	324	PF13855.5
LRRC40_CCDS646.1	LRR_8	519	576	PF13855.5
LRRC40_CCDS646.1	LRR_4	220	260	PF12799.6
SRSF11_CCDS647.1	RRM_1	37	103	PF00076.21
ANKRD13C_CCDS648.2	Ank_2	117	199	PF12796.6
ANKRD13C_CCDS648.2	GPCR_chapero_1	259	517	PF11904.7
CTH_CCDS650.1	Cys_Met_Meta_PP	19	395	PF01053.19
CTH_CCDS651.1	Cys_Met_Meta_PP	19	152	PF01053.19
CTH_CCDS651.1	Cys_Met_Meta_PP	153	351	PF01053.19
PTGER3_CCDS652.1	7tm_1	66	346	PF00001.20
PTGER3_CCDS655.1	7tm_1	66	346	PF00001.20
PTGER3_CCDS656.1	7tm_1	66	346	PF00001.20
PTGER3_CCDS657.1	7tm_1	66	346	PF00001.20
PTGER3_CCDS658.1	7tm_1	66	346	PF00001.20
ZRANB2_CCDS659.1	zf-RanBP	10	35	PF00641.17
ZRANB2_CCDS659.1	zf-RanBP	66	93	PF00641.17
ZRANB2_CCDS660.1	zf-RanBP	10	35	PF00641.17
ZRANB2_CCDS660.1	zf-RanBP	66	93	PF00641.17
NEGR1_CCDS661.1	Ig_3	138	207	PF13927.5
NEGR1_CCDS661.1	Ig_3	225	301	PF13927.5
NEGR1_CCDS661.1	I-set	46	135	PF07679.15
FPGT_CCDS663.2	Fucokinase	127	545	PF07959.11
TNNI3K_CCDS664.1	Pkinase_Tyr	463	719	PF07714.16
TNNI3K_CCDS664.1	Ank_2	71	164	PF12796.6
TNNI3K_CCDS664.1	Ank_2	169	232	PF12796.6
TNNI3K_CCDS664.1	Ank_2	274	368	PF12796.6
CRYZ_CCDS665.1	ADH_N	36	109	PF08240.11
CRYZ_CCDS665.1	ADH_zinc_N	160	285	PF00107.25
TYW3_CCDS666.1	TYW3	11	193	PF02676.13
SLC44A5_CCDS667.1	Choline_transpo	330	687	PF04515.11
ACADM_CCDS668.1	Acyl-CoA_dh_1	267	414	PF00441.23
ACADM_CCDS668.1	Acyl-CoA_dh_N	42	150	PF02771.15
ACADM_CCDS668.1	Acyl-CoA_dh_M	157	255	PF02770.18
RABGGTB_CCDS669.1	Prenyltrans	66	108	PF00432.20
RABGGTB_CCDS669.1	Prenyltrans	114	157	PF00432.20
RABGGTB_CCDS669.1	Prenyltrans	162	203	PF00432.20
RABGGTB_CCDS669.1	Prenyltrans	214	253	PF00432.20
RABGGTB_CCDS669.1	Prenyltrans	258	302	PF00432.20
MSH4_CCDS670.1	MutS_II	155	292	PF05188.16
MSH4_CCDS670.1	MutS_V	676	868	PF00488.20
MSH4_CCDS670.1	MutS_IV	493	584	PF05190.17
MSH4_CCDS670.1	MutS_III	316	627	PF05192.17
ASB17_CCDS671.1	SOCS_box	253	292	PF07525.15
ST6GALNAC3_CCDS672.1	Glyco_transf_29	73	295	PF00777.17
ST6GALNAC5_CCDS673.1	Glyco_transf_29	90	310	PF00777.17
PIGK_CCDS674.1	Peptidase_C13	45	277	PF01650.17
AK5_CCDS675.1	ADK	137	293	PF00406.21
AK5_CCDS675.1	ADK	381	536	PF00406.21
AK5_CCDS676.1	ADK	111	267	PF00406.21
AK5_CCDS676.1	ADK	355	510	PF00406.21
ZZZ3_CCDS677.1	ZZ	818	864	PF00569.16
ZZZ3_CCDS677.1	Myb_DNA-binding	654	702	PF00249.30
USP33_CCDS678.1	zf-UBP	61	122	PF02148.18
USP33_CCDS678.1	UCH	185	712	PF00443.28
USP33_CCDS678.1	DUSP	740	809	PF06337.11
USP33_CCDS678.1	DUSP	847	916	PF06337.11
USP33_CCDS679.1	zf-UBP	30	91	PF02148.18
USP33_CCDS679.1	UCH	154	681	PF00443.28
USP33_CCDS679.1	DUSP	709	778	PF06337.11
USP33_CCDS679.1	DUSP	816	885	PF06337.11
USP33_CCDS680.1	zf-UBP	61	122	PF02148.18
USP33_CCDS680.1	UCH	185	704	PF00443.28
USP33_CCDS680.1	DUSP	732	801	PF06337.11
FAM73A_CCDS681.1	Miga	60	603	PF10265.8
FUBP1_CCDS683.1	DUF1897	577	595	PF09005.9
FUBP1_CCDS683.1	DUF1897	604	622	PF09005.9
FUBP1_CCDS683.1	KH_1	102	165	PF00013.28
FUBP1_CCDS683.1	KH_1	188	253	PF00013.28
FUBP1_CCDS683.1	KH_1	280	340	PF00013.28
FUBP1_CCDS683.1	KH_1	381	445	PF00013.28
DNAJB4_CCDS684.1	DnaJ_C	161	319	PF01556.17
DNAJB4_CCDS684.1	DnaJ	4	65	PF00226.30
GIPC2_CCDS685.1	PDZ	118	187	PF00595.23
PTGFR_CCDS686.1	7tm_1	61	304	PF00001.20
IFI44L_CCDS687.2	MMR_HSR1	199	343	PF01926.22
IFI44_CCDS688.1	TLD	26	83	PF07534.15
LPHN2_CCDS689.1	Latrophilin	1087	1153	PF02354.15
LPHN2_CCDS689.1	Latrophilin	1153	1403	PF02354.15
LPHN2_CCDS689.1	Gal_Lectin	49	129	PF02140.17
LPHN2_CCDS689.1	GAIN	539	747	PF16489.4
LPHN2_CCDS689.1	GPS	774	817	PF01825.20
LPHN2_CCDS689.1	7tm_2	833	1067	PF00002.23
LPHN2_CCDS689.1	OLF	144	392	PF02191.15
LPHN2_CCDS689.1	HRM	467	523	PF02793.21
TTLL7_CCDS690.2	TTL	90	382	PF03133.14
PRKACB_CCDS691.1	Pkinase	44	298	PF00069.24
PRKACB_CCDS692.1	Pkinase	44	252	PF00069.24
PRKACB_CCDS693.1	Pkinase	91	345	PF00069.24
DNASE2B_CCDS694.1	DNase_II	3	152	PF03265.14
RPF1_CCDS695.1	Brix	154	317	PF04427.17
GNG5_CCDS696.1	G-gamma	7	67	PF00631.21
CTBS_CCDS698.1	Glyco_hydro_18	110	357	PF00704.27
SSX2IP_CCDS699.1	ADIP	63	214	PF11559.7
LPAR3_CCDS700.1	7tm_1	48	293	PF00001.20
MCOLN3_CCDS701.1	PKD_channel	371	508	PF08016.11
C1orf52_CCDS703.1	DUF4660	23	127	PF15559.5
BCL10_CCDS704.1	CARD	19	101	PF00619.20
DDAH1_CCDS705.1	Amidinotransf	39	188	PF02274.16
CYR61_CCDS706.1	Cys_knot	284	366	PF00007.21
CYR61_CCDS706.1	VWC	100	163	PF00093.17
CYR61_CCDS706.1	IGFBP	26	78	PF00219.17
ZNHIT6_CCDS707.1	zf-HIT	219	246	PF04438.15
CLCA2_CCDS708.1	CLCA	33	291	PF08434.10
CLCA1_CCDS709.1	CLCA	25	289	PF08434.10
CLCA1_CCDS709.1	VWA_2	307	414	PF13519.5
SH3GLB1_CCDS710.1	BAR	19	253	PF03114.17
SH3GLB1_CCDS710.1	SH3_9	312	362	PF14604.5
HS2ST1_CCDS711.1	Sulfotransfer_2	71	326	PF03567.13
LMO4_CCDS713.1	LIM	23	80	PF00412.21
LMO4_CCDS713.1	LIM	87	140	PF00412.21
PKN2_CCDS714.1	Pkinase	662	916	PF00069.24
PKN2_CCDS714.1	HR1	51	108	PF02185.15
PKN2_CCDS714.1	HR1	137	198	PF02185.15
PKN2_CCDS714.1	HR1	218	280	PF02185.15
PKN2_CCDS714.1	Pkinase_C	938	979	PF00433.23
GTF2B_CCDS715.1	TFIIB	121	191	PF00382.18
GTF2B_CCDS715.1	TFIIB	215	285	PF00382.18
GTF2B_CCDS715.1	TF_Zn_Ribbon	14	55	PF08271.11
RBMXL1_CCDS716.1	RBM1CTR	173	217	PF08081.10
RBMXL1_CCDS716.1	RRM_1	10	80	PF00076.21
GBP3_CCDS717.2	GBP	19	279	PF02263.18
GBP3_CCDS717.2	GBP_C	282	578	PF02841.13
GBP1_CCDS718.1	GBP	19	281	PF02263.18
GBP1_CCDS718.1	GBP_C	284	580	PF02841.13
GBP2_CCDS719.1	GBP	19	279	PF02263.18
GBP2_CCDS719.1	GBP_C	282	578	PF02841.13
GBP7_CCDS720.1	GBP	19	280	PF02263.18
GBP7_CCDS720.1	GBP_C	283	579	PF02841.13
GBP4_CCDS721.1	GBP	33	295	PF02263.18
GBP4_CCDS721.1	GBP_C	298	594	PF02841.13
GBP5_CCDS722.1	GBP	18	279	PF02263.18
GBP5_CCDS722.1	GBP_C	282	573	PF02841.13
GBP6_CCDS723.1	GBP	18	280	PF02263.18
GBP6_CCDS723.1	GBP_C	283	579	PF02841.13
LRRC8B_CCDS724.1	Pannexin_like	1	334	PF12534.7
LRRC8B_CCDS724.1	LRR_8	656	714	PF13855.5
LRRC8B_CCDS724.1	LRR_5	484	608	PF13306.5
LRRC8C_CCDS725.1	Pannexin_like	1	338	PF12534.7
LRRC8C_CCDS725.1	LRR_8	637	695	PF13855.5
LRRC8C_CCDS725.1	LRR_5	539	628	PF13306.5
LRRC8D_CCDS726.1	Pannexin_like	1	384	PF12534.7
LRRC8D_CCDS726.1	LRR_8	636	695	PF13855.5
LRRC8D_CCDS726.1	LRR_8	753	808	PF13855.5
ZNF326_CCDS727.1	AKAP95	312	476	PF04988.11
BARHL2_CCDS730.1	Homeobox	233	289	PF00046.28
ZNF644_CCDS731.1	zf-C2H2_4	448	470	PF13894.5
CDC7_CCDS734.1	Pkinase	59	207	PF00069.24
CDC7_CCDS734.1	Pkinase	365	465	PF00069.24
BRDT_CCDS735.1	BRD4_CDT	905	947	PF17105.4
BRDT_CCDS735.1	Bromodomain	39	119	PF00439.24
BRDT_CCDS735.1	Bromodomain	276	362	PF00439.24
BRDT_CCDS735.1	BET	509	572	PF17035.4
EPHX4_CCDS736.1	Abhydrolase_1	94	211	PF00561.19
BTBD8_CCDS737.1	BTB	51	133	PF00651.30
BTBD8_CCDS737.1	BTB	205	301	PF00651.30
GLMN_CCDS738.1	Kinetochor_Ybp2	1	560	PF08568.9
RPAP2_CCDS740.1	RPAP2_Rtr1	80	151	PF04181.12
RPL5_CCDS741.1	Ribosomal_L5e	14	176	PF17144.3
RPL5_CCDS741.1	Ribosomal_L18_c	192	283	PF14204.5
MTF2_CCDS742.1	PHD	104	155	PF00628.28
MTF2_CCDS742.1	Mtf2_C	545	591	PF14061.5
TMED5_CCDS743.1	EMP24_GP25L	36	222	PF01105.23
DR1_CCDS744.1	CBFD_NFYB_HMF	12	75	PF00808.22
BCAR3_CCDS745.1	RasGEF	594	701	PF00617.18
BCAR3_CCDS745.1	SH2	154	234	PF00017.23
GCLM_CCDS746.1	Aldo_ket_red	74	211	PF00248.20
ABCA4_CCDS747.1	ABC2_membrane_3	610	856	PF12698.6
ABCA4_CCDS747.1	ABC2_membrane_3	1604	1895	PF12698.6
ABCA4_CCDS747.1	ABC_tran	947	1090	PF00005.26
ABCA4_CCDS747.1	ABC_tran	1957	2098	PF00005.26
ARHGAP29_CCDS748.1	RhoGAP	685	856	PF00620.26
ARHGAP29_CCDS748.1	C1_1	616	659	PF00130.21
ABCD3_CCDS749.1	ABC_tran	457	599	PF00005.26
ABCD3_CCDS749.1	ABC_membrane_2	59	338	PF06472.14
F3_CCDS750.1	Interfer-bind	138	243	PF09294.9
F3_CCDS750.1	Tissue_fac	19	115	PF01108.16
SLC44A3_CCDS751.1	Choline_transpo	241	554	PF04515.11
ALG14_CCDS752.1	Alg14	39	215	PF08660.10
TMEM56_CCDS753.1	TRAM_LAG1_CLN8	48	238	PF03798.15
PTBP2_CCDS754.1	RRM_5	319	434	PF13893.5
PTBP2_CCDS754.1	RRM_1	183	246	PF00076.21
PTBP2_CCDS754.1	RRM_1	459	518	PF00076.21
SNX7_CCDS755.2	PX	99	210	PF00787.23
SNX7_CCDS756.2	PX	99	165	PF00787.23
LPPR4_CCDS757.1	PAP2	182	322	PF01569.20
PALMD_CCDS758.1	Paralemmin	65	492	PF03285.14
AGL_CCDS759.1	hDGE_amylase	121	551	PF14701.5
AGL_CCDS759.1	hGDE_N	31	116	PF14699.5
AGL_CCDS759.1	GDE_C	1068	1527	PF06202.13
AGL_CCDS759.1	hGDE_central	697	974	PF14702.5
AGL_CCDS760.1	hDGE_amylase	105	535	PF14701.5
AGL_CCDS760.1	hGDE_N	15	100	PF14699.5
AGL_CCDS760.1	GDE_C	1052	1511	PF06202.13
AGL_CCDS760.1	hGDE_central	681	958	PF14702.5
AGL_CCDS761.1	hDGE_amylase	104	534	PF14701.5
AGL_CCDS761.1	hGDE_N	14	99	PF14699.5
AGL_CCDS761.1	GDE_C	1051	1510	PF06202.13
AGL_CCDS761.1	hGDE_central	680	957	PF14702.5
SLC35A3_CCDS762.1	Nuc_sug_transp	4	313	PF04142.14
HIAT1_CCDS763.1	MFS_1	42	386	PF07690.15
SASS6_CCDS764.1	SAS-6_N	45	140	PF16531.4
TRMT13_CCDS765.1	TRM13	165	469	PF05206.13
TRMT13_CCDS765.1	zf-TRM13_CCCH	17	45	PF11722.7
TRMT13_CCDS765.1	zf-U11-48K	57	80	PF05253.11
LRRC39_CCDS766.1	LRR_8	107	162	PF13855.5
LRRC39_CCDS766.1	LRR_8	223	280	PF13855.5
LRRC39_CCDS766.1	LRR_4	177	215	PF12799.6
DBT_CCDS767.1	E3_binding	172	206	PF02817.16
DBT_CCDS767.1	Biotin_lipoyl	66	138	PF00364.21
DBT_CCDS767.1	2-oxoacid_dh	250	478	PF00198.22
RTCA_CCDS768.1	RTC_insert	184	285	PF05189.12
RTCA_CCDS768.1	RTC	13	337	PF01137.20
CDC14A_CCDS769.1	DSPc	258	324	PF00782.19
CDC14A_CCDS769.1	DSPn	13	152	PF14671.5
CDC14A_CCDS770.1	DSPc	258	324	PF00782.19
CDC14A_CCDS770.1	DSPn	13	152	PF14671.5
CDC14A_CCDS771.1	DSPc	258	324	PF00782.19
CDC14A_CCDS771.1	DSPn	13	152	PF14671.5
GPR88_CCDS772.1	7tm_1	49	336	PF00001.20
VCAM1_CCDS773.1	C2-set	133	221	PF05790.14
VCAM1_CCDS773.1	C2-set	421	509	PF05790.14
VCAM1_CCDS773.1	Ig_3	517	583	PF13927.5
VCAM1_CCDS773.1	I-set	28	112	PF07679.15
VCAM1_CCDS773.1	I-set	321	399	PF07679.15
VCAM1_CCDS773.1	I-set	612	685	PF07679.15
VCAM1_CCDS773.1	ig	230	304	PF00047.24
VCAM1_CCDS774.1	C2-set	133	221	PF05790.14
VCAM1_CCDS774.1	C2-set	329	417	PF05790.14
VCAM1_CCDS774.1	Ig_3	425	491	PF13927.5
VCAM1_CCDS774.1	I-set	28	112	PF07679.15
VCAM1_CCDS774.1	I-set	520	593	PF07679.15
VCAM1_CCDS774.1	ig	230	304	PF00047.24
EXTL2_CCDS775.1	Glyco_transf_64	66	321	PF09258.9
SLC30A7_CCDS776.1	Cation_efflux	38	294	PF01545.20
S1PR1_CCDS777.1	7tm_1	62	311	PF00001.20
COL11A1_CCDS778.1	Laminin_G_2	152	222	PF02210.23
COL11A1_CCDS778.1	COLFI	1576	1804	PF01410.17
COL11A1_CCDS778.1	Collagen	442	490	PF01391.17
COL11A1_CCDS778.1	Collagen	529	586	PF01391.17
COL11A1_CCDS778.1	Collagen	583	637	PF01391.17
COL11A1_CCDS778.1	Collagen	730	787	PF01391.17
COL11A1_CCDS778.1	Collagen	1429	1487	PF01391.17
COL11A1_CCDS778.1	Collagen	1483	1541	PF01391.17
COL11A1_CCDS780.2	Laminin_G_2	152	222	PF02210.23
COL11A1_CCDS780.2	COLFI	1460	1688	PF01410.17
COL11A1_CCDS780.2	Collagen	326	374	PF01391.17
COL11A1_CCDS780.2	Collagen	413	470	PF01391.17
COL11A1_CCDS780.2	Collagen	467	525	PF01391.17
COL11A1_CCDS780.2	Collagen	632	690	PF01391.17
COL11A1_CCDS780.2	Collagen	1262	1317	PF01391.17
COL11A1_CCDS780.2	Collagen	1277	1335	PF01391.17
COL11A1_CCDS780.2	Collagen	1367	1425	PF01391.17
RNPC3_CCDS781.1	RRM_1	29	95	PF00076.21
RNPC3_CCDS781.1	RRM_1	422	496	PF00076.21
AMY2B_CCDS782.1	Alpha-amylase_C	424	507	PF02806.17
AMY2B_CCDS782.1	Alpha-amylase	87	325	PF00128.23
AMY2A_CCDS783.1	Alpha-amylase_C	424	507	PF02806.17
AMY2A_CCDS783.1	Alpha-amylase	87	325	PF00128.23
VAV3_CCDS785.1	PH	415	501	PF00169.28
VAV3_CCDS785.1	RhoGEF	196	369	PF00621.19
VAV3_CCDS785.1	SH3_2	597	658	PF07653.16
VAV3_CCDS785.1	SH3_2	798	845	PF07653.16
VAV3_CCDS785.1	C1_1	514	562	PF00130.21
VAV3_CCDS785.1	CAMSAP_CH	20	103	PF11971.7
VAV3_CCDS785.1	SH2	672	746	PF00017.23
SLC25A24_CCDS786.1	EF-hand_7	7	65	PF13499.5
SLC25A24_CCDS786.1	EF-hand_7	70	131	PF13499.5
SLC25A24_CCDS786.1	Mito_carr	174	262	PF00153.26
SLC25A24_CCDS786.1	Mito_carr	266	356	PF00153.26
SLC25A24_CCDS786.1	Mito_carr	367	453	PF00153.26
PRPF38B_CCDS788.1	PRP38	48	230	PF03371.14
STXBP3_CCDS790.1	Sec1	33	575	PF00995.22
AKNAD1_CCDS791.2	AKNA	327	421	PF12443.7
GPSM2_CCDS792.2	TPR_7	65	97	PF13176.5
GPSM2_CCDS792.2	TPR_7	204	238	PF13176.5
GPSM2_CCDS792.2	TPR_8	323	353	PF13181.5
GPSM2_CCDS792.2	TPR_12	102	157	PF13424.5
